name,release_date,artist_name,duration_ms,url,popularity,date_time_played,artist_id
Doctor Theme - Background Score,2021-10-18,Anirudh Ravichander,43124,https://open.spotify.com/track/2sW8zbqjQsOnwTcjC2JWBO,57,2021-11-26 00:29:30.059,4zCH9qm4R2DADamUHMCa6O
Yaar Azhaippadhu,2021-01-01,Ghibran,250325,https://open.spotify.com/track/2ZqzELrxZZyeTPSR7GZBH4,58,2021-11-25 11:01:04.675,3jw2v5ZbSWBinNaECXq8cJ
"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",2021-09-18,Anirudh Ravichander,176345,https://open.spotify.com/track/6C8JJFoGC4dkVtAHVK3iif,66,2021-11-25 10:59:38.064,4zCH9qm4R2DADamUHMCa6O
"Tum Tum (From ""Enemy - Tamil"")",2021-09-03,Various Artists,228567,https://open.spotify.com/track/3H3x4NhR3wJh6IvRHmPvkd,66,2021-11-25 10:56:11.120,0LyfQWJT6nXafLPZqxe9Of
Cold Heart - PNAU Remix,2021-10-22,Elton John,202735,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39,86,2021-11-25 10:51:19.703,3PhoLpVuITZKcymswpck5b
INDUSTRY BABY (feat. Jack Harlow),2021-09-17,Lil Nas X,212352,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,90,2021-11-25 10:47:56.428,7jVv8c5Fj3E9VhNjxT4snq
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),2021-11-12,Taylor Swift,613026,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,94,2021-11-25 10:44:24.026,06HL4z0CvFAxyc27GXpf02
Oh My God,2021-11-19,Adele,225148,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,90,2021-11-25 10:34:10.021,4dpARuHxo51G3z768sgnrY
STAY (with Justin Bieber),2021-07-23,The Kid LAROI,141805,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,92,2021-11-25 10:30:24.774,2tIP7SsRs7vjIcLrU85W8J
Easy On Me,2021-11-19,Adele,224694,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,87,2021-11-25 10:28:02.854,4dpARuHxo51G3z768sgnrY
